item_number	title	condition	description	email	type	piece_count	platform	media
3798	WCW Nitro 	Lightly Used		usr513@gt.edu	Card Game			
3799	Me and My Pal 	Heavily Used		usr513@gt.edu	Jigsaw Puzzle	48		
3800	Aeroplane Chess	Heavily Used	China  Single six-sided die	usr513@gt.edu	Board Game			
3801	7th Sea	Like New	an out-of-print collectible card game (CCG) produced by Alderac Entertainment Group (AEG)   	usr513@gt.edu	Card Game			
3802	Epic Battles	Heavily Used	Score Entertainment   	usr514@gt.edu	Card Game			
3803	Wahoo	Lightly Used	Appalachia, United States  Single six-sided die	usr514@gt.edu	Board Game			
3804	Dollhouse Village	Moderately Used		usr514@gt.edu	Jigsaw Puzzle	31		
3805	Bionicle: Quest for the Masks	Damaged/Missing parts	Upper Deck   	usr514@gt.edu	Card Game			
3806	NFL Quarterback Club 98	Like New	Iguana Entertainment   Acclaim Sports	usr514@gt.edu	Video Game		Nintendo	Game card
3807	Chandragupta	Lightly Used	GMT Games  2008	usr514@gt.edu	Board Game			
3808	Empires Apart	Lightly Used	Destiny Bit   Slitherine	usr514@gt.edu	Computer Game		Windows	
3809	Sins of a Solar Empire	Lightly Used	Ironclad Games   Stardock	usr514@gt.edu	Computer Game		Windows	
3810	Battlefield 4	Damaged/Missing parts		usr514@gt.edu	Computer Game		macOS	
3811	Penumbra: Overture	Mint	Frictional Games	usr515@gt.edu	Computer Game		macOS	
3812	Romeo and Juliet	Mint	Jennifer Brown	usr515@gt.edu	Jigsaw Puzzle	59		
3813	Acre	Like New	Simulations Publications, Inc.  1978	usr515@gt.edu	Board Game			
3814	Brawlhalla	Moderately Used		usr515@gt.edu	Computer Game		Windows	
3815	Supreme Commander	Heavily Used	Gas Powered Games   THQ	usr515@gt.edu	Computer Game		Windows	
3816	"WARS Trading Card Game	"	Lightly Used	Decipher Inc.   	usr515@gt.edu	Card Game			
3817	The Elder Scrolls Adventures: Redguard	Moderately Used		usr516@gt.edu	Computer Game		Windows	
3818	Madden NFL 15	Like New	Sports   EA Tiburon	usr516@gt.edu	Video Game		Xbox	Game card
3819	NBA Jam 2000	Damaged/Missing parts	Acclaim Studios Salt Lake City   Acclaim Sports	usr516@gt.edu	Video Game		Nintendo	Game card
3820	A Chair in a Room: Greenwater	Damaged/Missing parts	Wolf & Wood Interactive Ltd	usr516@gt.edu	Computer Game		Windows	
3821	Pools of Darkness	Like New	Strategic Simulations, Inc., MicroMagic, Inc., Marionette (PC9800)   Strategic Simulations, Inc., Pony Canyon (PC9800)	usr516@gt.edu	Computer Game		Windows	
3822	G.I. Joe Trading Card Game 	Moderately Used	Wizards of the Coast   	usr516@gt.edu	Card Game			
3823	Yut	Damaged/Missing parts	Korea  Four thrown marked sticks	usr517@gt.edu	Board Game			
3824	Max Payne 3	Like New		usr517@gt.edu	Video Game		Xbox	Optical disc
3825	Pet Fair Fun 	Damaged/Missing parts	Jigsaw Puzzle By Ravensburger NEW	usr517@gt.edu	Jigsaw Puzzle	35		
3826	Cardcaptors Trading Card Game	Damaged/Missing parts	Upper Deck   	usr517@gt.edu	Card Game			
3827	Jeopardy!	Lightly Used		usr517@gt.edu	Video Game		PlayStation	Game card
3828	Accounting (video game)	Mint	Crows Crows Crows	usr517@gt.edu	Computer Game		Windows	
3829	Prison Architect	Heavily Used	Introversion Software	usr517@gt.edu	Computer Game		macOS	
3830	Man Vs. Wild With Bear Grylls	Like New	Adventure   G.rev	usr517@gt.edu	Video Game		Xbox	Game card
3831	Dragon Booster Trading Card Game	Damaged/Missing parts	Score Entertainment   	usr517@gt.edu	Card Game			
3832	Masquerade: The Baubles of Doom	Damaged/Missing parts	Action & Adventure   Big Ant Studios	usr518@gt.edu	Video Game		Xbox	Game card
3833	Centurion: Tactical Warfare, 100 BC-600 AD	Moderately Used	Simulations Publications, Inc.  1971	usr518@gt.edu	Board Game			
3834	"Kaijudo	"	Moderately Used		usr518@gt.edu	Card Game			
3835	BioShock	Heavily Used	2K Boston, 2K Australia   2K Games	usr518@gt.edu	Computer Game		macOS	
3836	Eye of the Beholder II: The Legend of Darkmoon	Lightly Used		usr518@gt.edu	Computer Game		Windows	
3837	Hero Attax 	Like New	Topps   	usr518@gt.edu	Card Game			
3838	Jissen Pachi-Slot Hisshouhou! Hokuto no Ken F - Seikimatsu Kyuuseishu Densetsu	Heavily Used	Sega   May 31, 2012	usr518@gt.edu	Video Game		PlayStation	Optical disc
3839	Dark Age	Heavily Used	FPG Inc.   	usr518@gt.edu	Card Game			
3840	Hayate the Combat Butler TCG 	Mint	Konami   	usr518@gt.edu	Card Game			
3841	Football Resurrection	Lightly Used	Portal Games Ltd.   	usr518@gt.edu	Card Game			
3842	Assetto Corsa	Heavily Used	Kunos Simulazioni	usr518@gt.edu	Computer Game		Windows	
3843	Bionicle: Quest for the Masks	Mint	Upper Deck   	usr519@gt.edu	Card Game			
3844	Nightmare Creatures	Moderately Used		usr519@gt.edu	Video Game		Nintendo	Cartridge
3845	Teenage Mutant Ninja Turtles Trading Card Game 	Mint	Upper Deck   	usr519@gt.edu	Card Game			
3846	Braid	Damaged/Missing parts	Number None	usr519@gt.edu	Computer Game		Windows	
3847	Marvel: Ultimate Alliance	Lightly Used	Action RPG   Raven Software	usr519@gt.edu	Video Game		Xbox	Optical disc
3848	Battles of Napoleon	Moderately Used	Chuck Kroegel, David Landrey   Strategic Simulations, Inc.	usr519@gt.edu	Computer Game		Windows	
3849	Brothers in Arms: Hell's Highway	Like New	Gearbox Software   Ubisoft	usr519@gt.edu	Computer Game		macOS	
3850	Just Dance 4	Lightly Used	Ubisoft Paris   October 2, 2014	usr519@gt.edu	Video Game		PlayStation	Game card
3851	Pro Mahjong Kiwame 64	Lightly Used	Athena   Athena	usr519@gt.edu	Video Game		Nintendo	Optical disc
3852	Hannibal	Heavily Used		usr519@gt.edu	Board Game			
3853	Star Wars: Republic Commando	Damaged/Missing parts	LucasArts, Magellan Interactive   THQ Wireless	usr520@gt.edu	Computer Game		macOS	
3854	Pro Shinan Mahjong Tsuwamono 64: Janso Battle ni Chosen	Moderately Used	Culture Brain   Culture Brain	usr520@gt.edu	Video Game		Nintendo	Game card
3855	An Elder Scrolls Legend: Battlespire	Mint	Bethesda Softworks	usr520@gt.edu	Computer Game		Windows	
3856	Memories Off: Yubikiri no Kioku	Damaged/Missing parts		usr520@gt.edu	Video Game		Xbox	Optical disc
3857	Nushi Tsuri 64: Shiokaze Ni Notte	Mint	Victor Interactive Software   Victor Interactive Software	usr520@gt.edu	Video Game		Nintendo	Game card
3858	MLB Bobblehead Pros	Moderately Used		usr520@gt.edu	Video Game		Xbox	Optical disc
3859	Audiosurf	Moderately Used	Dylan Fitterer	usr520@gt.edu	Computer Game		Windows	
3860	"XXXenophile	"	Mint	Slag-Blah Entertainment/Studio Foglio   	usr521@gt.edu	Card Game			
3861	AdVenture Capitalist	Moderately Used		usr521@gt.edu	Computer Game		Windows	
3862	Xiaolin Showdown Trading Card Game 	Like New	Wizards of the Coast   	usr521@gt.edu	Card Game			
3863	G.I. Joe Trading Card Game 	Mint	Wizards of the Coast   	usr521@gt.edu	Card Game			
3864	Assetto Corsa	Lightly Used	Kunos Simulazioni	usr521@gt.edu	Computer Game		Windows	
3865	Automation - The Car Company Tycoon Game	Heavily Used		usr522@gt.edu	Computer Game		macOS	
3866	GMT Games	Mint		usr522@gt.edu	Board Game			
3867	Disney Pixar: Toy Story: Playing Around 	Lightly Used	Giant Floor Puzzle by Ravensburger	usr522@gt.edu	Jigsaw Puzzle	60		
3868	Troy	Like New	Chaosium  1977	usr522@gt.edu	Board Game			
3869	Mass Effect 3	Heavily Used	Action RPG   BioWare	usr522@gt.edu	Video Game		Xbox	Optical disc
3870	Phalanx	Damaged/Missing parts		usr522@gt.edu	Board Game			
3871	Avalanche Software	Heavily Used	Midway Home EntertainmentNA   	usr522@gt.edu	Video Game		Nintendo	Cartridge
3872	NBA Live 2000	Heavily Used	EA Canada   	usr522@gt.edu	Video Game		Nintendo	Game card
3873	Ultimate Pixar 	Mint	Floor Jigsaw Puzzle By Ravensburger	usr522@gt.edu	Jigsaw Puzzle	60		
3874	Pixel Piracy	Damaged/Missing parts	Quadro Delta   Re-Logic	usr522@gt.edu	Computer Game		Windows	
3875	Football Resurrection	Like New	Portal Games Ltd.   	usr523@gt.edu	Card Game			
3876	Attack on Titan	Moderately Used		usr523@gt.edu	Computer Game		Windows	
3877	Battles in Time	Moderately Used	Quantum Quality Productions, American Laser Games   Quantum Quality Productions	usr523@gt.edu	Computer Game		Windows	
3878	Mario StoryJP	Heavily Used		usr523@gt.edu	Video Game		Nintendo	Optical disc
3879	Aggravation	Moderately Used	United States  Single six-sided die	usr523@gt.edu	Board Game			
3880	Doctor Who: The Collectible Trading Card Game	Damaged/Missing parts	M.M.G. Ltd.   	usr523@gt.edu	Card Game			
3881	Disney Castle 	Damaged/Missing parts	3D Jigsaw Puzzle By Ravensburger	usr523@gt.edu	Jigsaw Puzzle	216		
3882	Event 0	Lightly Used	Ocelot Society	usr523@gt.edu	Computer Game		Windows	
3883	Survivor 	Damaged/Missing parts	Upper Deck   	usr523@gt.edu	Card Game			
3884	Inuyasha Trading Card Game 	Moderately Used	Score Entertainment   	usr523@gt.edu	Card Game			
3885	Rainbow Horses 	Lightly Used	Jigsaw Puzzle By Ravensburger NEW	usr523@gt.edu	Jigsaw Puzzle	48		
3886	Metal Slug 3	Like New		usr523@gt.edu	Video Game		Xbox	Cartridge
3887	Age of Wonders	Like New		usr524@gt.edu	Computer Game		macOS	
3888	Madballs in Babo: Invasion	Moderately Used	Shooter   Playbrains	usr524@gt.edu	Video Game		Xbox	Optical disc
3889	Centurion: Tactical Warfare, 100 BC-600 AD	Damaged/Missing parts	Simulations Publications, Inc.  1971	usr524@gt.edu	Board Game			
3890	Fading Legions	Lightly Used	Avalanche Press  2002	usr524@gt.edu	Board Game			
3891	Densel the Dragon	Damaged/Missing parts	Steve Richardson (tricks)	usr524@gt.edu	Jigsaw Puzzle	43		
3892	Assassin's Creed	Damaged/Missing parts	Ubisoft Montreal   Ubisoft	usr524@gt.edu	Computer Game		Windows	
3893	Jikkyou Powerful Pro Yakyuu 2016	Heavily Used	Konami   April 28, 2016	usr524@gt.edu	Video Game		PlayStation	Optical disc
3894	Memories Off: Yubikiri no Kioku	Damaged/Missing parts	Visual novel   5pb.	usr525@gt.edu	Video Game		Xbox	Optical disc
3895	Marble Blast Ultra	Lightly Used		usr525@gt.edu	Video Game		Xbox	Game card
3896	After...	Moderately Used	Ciel	usr525@gt.edu	Computer Game		macOS	
3897	Star Wars: Knights of the Old Republic	Heavily Used	BioWare   LucasArts	usr525@gt.edu	Computer Game		Windows	
3898	Megamind: Ultimate Showdown	Like New	Action   THQ	usr525@gt.edu	Video Game		Xbox	Cartridge
3899	NBA in the Zone 2JP	Heavily Used		usr525@gt.edu	Video Game		Nintendo	Optical disc
3900	Aliens Predator Collectible Card Game	Damaged/Missing parts	Alien vs. Predator science fiction horror franchises   	usr525@gt.edu	Card Game			
3901	HMS Pinafore	Damaged/Missing parts	Steve Richardson (tricks and teasers)	usr525@gt.edu	Jigsaw Puzzle	58		
3902	World in Conflict: Soviet Assault	Moderately Used	Massive Entertainment   Sierra Entertainment (former), Ubisoft	usr525@gt.edu	Computer Game		macOS	
3903	Tank Commander 	Heavily Used	Moments in History   	usr525@gt.edu	Card Game			
3904	Caesar: Epic Battle at Alesia	Lightly Used	Avalon Hill  1976	usr525@gt.edu	Board Game			
3905	Killing Floor 2	Heavily Used	Tripwire Interactive	usr525@gt.edu	Computer Game		macOS	
3906	Jimmie Johnson's Anything with an Engine	Lightly Used	Isopod Labs   	usr526@gt.edu	Video Game		PlayStation	Cartridge
3907	ARMA 3	Damaged/Missing parts	Bohemia Interactive	usr526@gt.edu	Computer Game		Windows	
3908	24: Trading Card Game	Damaged/Missing parts	deck of 24 cards made from characters and events from the television show   	usr526@gt.edu	Card Game			
3909	Headache	Heavily Used		usr526@gt.edu	Board Game			
3910	James Bond 007 	Damaged/Missing parts	Target Games/Heartbreaker Hobbies   	usr526@gt.edu	Card Game			
3911	Jeu des petits chevaux	Lightly Used		usr526@gt.edu	Board Game			
3912	Jewish War	Moderately Used	Khyber Pass Games  2000	usr526@gt.edu	Board Game			
3913	Planetary Annihilation	Mint	Uber Entertainment	usr526@gt.edu	Computer Game		Windows	
3914	Arcadia	Heavily Used	an out-of-print collectible card game involving combat and terrain   	usr526@gt.edu	Card Game			
3915	Monster Hunter Frontier G8	Mint	Action role-playing, Expansion   Capcom	usr526@gt.edu	Video Game		Xbox	Cartridge
3916	Karateka	Damaged/Missing parts		usr527@gt.edu	Video Game		PlayStation	Game card
3917	Dayakattai	Lightly Used	Tamil Nadu, India  Two four-sided brass long dice	usr527@gt.edu	Board Game			
3918	Age of Pirates 2: City of Abandoned Ships	Heavily Used	Akella   Playlogic	usr527@gt.edu	Computer Game		Windows	
3919	Baldur's Gate II: Throne of Bhaal	Lightly Used	BioWare   Black Isle Studios, Interplay Entertainment	usr527@gt.edu	Computer Game		macOS	
3920	Battleground 4: Shiloh	Heavily Used	TalonSoft	usr527@gt.edu	Computer Game		Windows	
3921	1995	Like New	Deluxe Edition  	usr527@gt.edu	Board Game			
3922	Power Rangers Lightspeed Rescue	Mint	Mass Media Games   THQ	usr527@gt.edu	Video Game		Nintendo	Game card
3923	Advent Rising	Lightly Used	GlyphX Games   Majesco Entertainment	usr527@gt.edu	Computer Game		macOS	
3924	JoJo's Bizarre Adventure HD Ver.	Mint	Capcom   August 21, 2012	usr527@gt.edu	Video Game		PlayStation	Cartridge
3925	Just Cause 2	Like New	Avalanche Studios   	usr527@gt.edu	Video Game		PlayStation	Optical disc
3926	Euro Truck Simulator	Moderately Used	SCS Software	usr528@gt.edu	Computer Game		macOS	
3927	Karateka	Heavily Used		usr528@gt.edu	Video Game		PlayStation	Game card
3928	Monster Hunter Frontier G10	Lightly Used		usr528@gt.edu	Video Game		Xbox	Cartridge
3929	StarCraft: Brood War	Mint	Blizzard Entertainment Saffire   Blizzard Entertainment	usr528@gt.edu	Computer Game		macOS	
3930	Empire Earth III	Moderately Used	Mad Doc Software   Sierra Entertainment	usr529@gt.edu	Computer Game		Linux	
3931	Chariot	Moderately Used	Simulations Publications, Inc.  1975	usr529@gt.edu	Board Game			
3932	Juiced 2: Hot Import Nights	Damaged/Missing parts	Juice Games / Paradigm Entertainment   January 24, 2008	usr529@gt.edu	Video Game		PlayStation	Cartridge
3933	Persona 4 Golden	Moderately Used	Atlus   Sega	usr529@gt.edu	Computer Game		Windows	
3934	Suzanne Stofflet (mystery)	Moderately Used		usr529@gt.edu	Jigsaw Puzzle	47		
3935	SpaceChem	Like New	Zachtronics Industries	usr529@gt.edu	Computer Game		Windows	
3936	Coppit	Lightly Used		usr529@gt.edu	Board Game			
3937	Under the Big Top	Heavily Used		usr529@gt.edu	Jigsaw Puzzle	27		
3938	Stronghold	Moderately Used	Firefly Studios, MacSoft   Take 2 Interactive, God Games	usr529@gt.edu	Computer Game		Windows	
3939	Survivor 	Lightly Used	Upper Deck   	usr530@gt.edu	Card Game			
3940	Automation - The Car Company Tycoon Game	Damaged/Missing parts	Camshaft Software	usr530@gt.edu	Computer Game		macOS	
3941	Cyberpunk The Collectible Card Game	Heavily Used	Social Games/ImageNative Worlds Inc./R. Talsorian Games Inc.   	usr530@gt.edu	Card Game			
3942	GT InteractivePAL	Moderately Used	Action/First-Person Shooter   1998-03-24NA	usr530@gt.edu	Video Game		Nintendo	Game card
3943	Stardew Valley	Like New	Eric Barone   ChuckleFish, ConcernedApe	usr531@gt.edu	Computer Game		Windows	
3944	Madden NFL 13	Moderately Used		usr531@gt.edu	Video Game		Xbox	Game card
3945	System Shock 2	Damaged/Missing parts		usr531@gt.edu	Computer Game		macOS	
3946	Statue of Liberty: Night Edition 	Mint	3D Jigsaw Puzzle By Ravensburger	usr531@gt.edu	Jigsaw Puzzle	106		
3947	Battleground 7: Bull Run	Lightly Used	TalonSoft	usr531@gt.edu	Computer Game		Windows	
3948	Warcraft: Orcs & Humans	Heavily Used	Blizzard Entertainment	usr531@gt.edu	Computer Game		Linux	
3949	Force of Will 	Heavily Used		usr531@gt.edu	Card Game			
3950	Epic Battle Fantasy	Lightly Used	Matt Roszak   Kupo Games	usr532@gt.edu	Computer Game		Windows	
3951	Katsuragi Misato Houdou Keikaku (app)	Lightly Used	Bandai Namco Games   June 6, 2009	usr532@gt.edu	Video Game		PlayStation	Cartridge
3952	Teenage Mutant Ninja Turtles Trading Card Game 	Lightly Used	Upper Deck   	usr532@gt.edu	Card Game			
3953	Nutcracker Suite	Damaged/Missing parts	Jennifer Brown	usr532@gt.edu	Jigsaw Puzzle	52		
3954	Eagles	Heavily Used	Columbia Games   	usr532@gt.edu	Card Game			
3955	Man Vs. Wild With Bear Grylls	Like New	Adventure   G.rev	usr532@gt.edu	Video Game		Xbox	Game card
3956	The Crow 	Heavily Used	Target Games/Heartbreaker Hobbies   	usr532@gt.edu	Card Game			
3957	HAL Laboratory	Heavily Used	Nintendo   Action/Turn-Based Battle	usr532@gt.edu	Video Game		Nintendo	Game card
3958	Dinosaur King	Damaged/Missing parts		usr532@gt.edu	Card Game			
3959	StarCraft	Heavily Used	Blizzard Entertainment	usr532@gt.edu	Computer Game		Windows	
3960	Janline R	Heavily Used	Recom   August 6, 2009	usr533@gt.edu	Video Game		PlayStation	Optical disc
3961	The Elder Scrolls Online	Moderately Used	ZeniMax Online Studios   Bethesda Softworks	usr533@gt.edu	Computer Game		macOS	
3962	The Elder Scrolls V: Skyrim	Moderately Used	Bethesda Game Studios   Bethesda Softworks	usr533@gt.edu	Computer Game		Windows	
3963	Space Rocket 	Like New	Floor Jigsaw Puzzle By Ravensburger NEW	usr533@gt.edu	Jigsaw Puzzle	24		
3964	Prison Architect	Like New	Introversion Software	usr533@gt.edu	Computer Game		macOS	
3965	A to Zap! Featuring the Sunbuddies	Lightly Used	ImageBuilder Software	usr533@gt.edu	Computer Game		Windows	
3966	HunTik 	Heavily Used	Upper Deck   	usr533@gt.edu	Card Game			
3967	Morita Shogi 64	Heavily Used	SETA Corporation   SETA Corporation	usr533@gt.edu	Video Game		Nintendo	Optical disc
3968	Cranium	Moderately Used	United States  Single six-sided die rolled after completion of an activity	usr533@gt.edu	Board Game			
3969	Dimps	Mint	Namco Bandai Games   Unreleased	usr533@gt.edu	Video Game		Xbox	Cartridge
3970	Diggers at Work 	Lightly Used	Multipack Jigsaw Puzzle By Ravensburger NEW	usr533@gt.edu	Jigsaw Puzzle	48		
3971	World of Warcraft: Cataclysm	Like New	Blizzard Entertainment	usr533@gt.edu	Computer Game		Windows	
3972	Magic: The Gathering � Duels of the Planeswalkers	Heavily Used	Card & Board   Stainless Games	usr534@gt.edu	Video Game		Xbox	Optical disc
3973	Dollhouse Village	Lightly Used	Jim Schubert (art)	usr534@gt.edu	Jigsaw Puzzle	31		
3974	Kamen Rider: SummonRide	Like New	Bandai Namco Games   December 4, 2014	usr534@gt.edu	Video Game		PlayStation	Optical disc
3975	Juju	Heavily Used	Flying Wild Hog   Unreleased	usr534@gt.edu	Video Game		PlayStation	Cartridge
3976	Madagascar Kartz	Like New	Racing   Sidhe Interactive	usr534@gt.edu	Video Game		Xbox	Cartridge
3977	NuFX	Heavily Used		usr534@gt.edu	Video Game		Nintendo	Optical disc
3978	Killer Instinct	Moderately Used	Topps   	usr534@gt.edu	Card Game			
3979	Age of Wonders	Like New	Triumph Studios   Gathering of Developers	usr535@gt.edu	Computer Game		macOS	
3980	Dayakattai	Damaged/Missing parts	Tamil Nadu, India  Two four-sided brass long dice	usr535@gt.edu	Board Game			
3981	Payday 2	Heavily Used	Overkill Software   505 Games	usr535@gt.edu	Computer Game		macOS	
3982	NBA Live 2000	Lightly Used	EA Canada   	usr535@gt.edu	Video Game		Nintendo	Game card
3983	Asphalt 8: Airborne	Damaged/Missing parts	Gameloft	usr535@gt.edu	Computer Game		macOS	
3984	Heresy: Kingdom Come	Damaged/Missing parts	Last Unicorn Games   	usr535@gt.edu	Card Game			
3985	Games Publications Group	Like New	1999  	usr535@gt.edu	Board Game			
3986	Moon Landing 	Mint	Jigsaw Puzzle By Ravensburger NEW	usr535@gt.edu	Jigsaw Puzzle	35		
3987	Anno 1602	Lightly Used	Max Design   Sunflowers	usr535@gt.edu	Computer Game		Windows	
3988	Axis Assassin	Moderately Used	Electronic Arts	usr535@gt.edu	Computer Game		Windows	
3989	Candy Thun (art)	Damaged/Missing parts		usr535@gt.edu	Jigsaw Puzzle	58		
3990	Winx Club Collectible Card Game 	Like New	Rainbow Games/Upper Deck   	usr535@gt.edu	Card Game			
3991	Just Dance Kids	Heavily Used		usr536@gt.edu	Video Game		PlayStation	Cartridge
3992	Star Wars: Knights of the Old Republic	Lightly Used		usr536@gt.edu	Computer Game		Windows	
3993	Fight Klub 	Lightly Used		usr536@gt.edu	Card Game			
3994	Stronghold: Crusader	Damaged/Missing parts	Firefly Studios   Take 2 Interactive, God Games	usr536@gt.edu	Computer Game		Windows	
3995	Major League Baseball 2K13	Like New	Sports   Visual Concepts	usr536@gt.edu	Video Game		Xbox	Cartridge
3996	Karateka	Heavily Used		usr536@gt.edu	Video Game		PlayStation	Game card
3997	Wheels of Aurelia	Lightly Used	Santa Ragione S.r.l.	usr536@gt.edu	Computer Game		macOS	
3998	Star Wars: Empire At War	Moderately Used	Petroglyph Games   LucasArts	usr537@gt.edu	Computer Game		Windows	
3999	Minecraft: Xbox 360 Edition	Lightly Used		usr537@gt.edu	Video Game		Xbox	Cartridge
4000	NBA Pro '98PAL	Damaged/Missing parts	KCEO   Konami	usr537@gt.edu	Video Game		Nintendo	Optical disc
4001	Mario Party	Lightly Used	Hudson Soft   Nintendo	usr537@gt.edu	Video Game		Nintendo	Cartridge
4002	GT InteractivePAL	Mint	Racing/Automobile   1998-06NA	usr537@gt.edu	Video Game		Nintendo	Cartridge
4003	"Warhammer Age of Sigmar: Champions	"	Mint	PlayFusion Limited/Games Workshop   	usr538@gt.edu	Card Game			
4004	Achron	Moderately Used		usr538@gt.edu	Computer Game		macOS	
4005	SimCity 3000	Like New	Maxis   Electronic Arts	usr538@gt.edu	Computer Game		macOS	
4006	Dimps	Lightly Used	Namco Bandai Games   Unreleased	usr538@gt.edu	Video Game		Xbox	Cartridge
4007	Densel the Dragon	Mint	Steve Richardson (tricks)	usr538@gt.edu	Jigsaw Puzzle	43		
4008	Medal of Honor: Warfighter	Moderately Used	First-person Shooter   Danger Close Games	usr538@gt.edu	Video Game		Xbox	Game card
4009	Age of Empires III: The Asian Dynasties	Moderately Used	Ensemble Studios, Big Huge Games   Microsoft Game Studios, MacSoft	usr538@gt.edu	Computer Game		Windows	
4010	Silent Hunter III	Lightly Used	Ubisoft Bucharest   Ubisoft	usr539@gt.edu	Computer Game		Linux	
4011	Saints Row IV	Moderately Used	Volition   Deep Silver, Spike Chunsoft	usr539@gt.edu	Computer Game		Windows	
4012	Battlefield 2142	Like New		usr539@gt.edu	Computer Game		macOS	
4013	A.D. 2044	Like New	R.M.P. Software   LK Avalon	usr539@gt.edu	Computer Game		Linux	
4014	"Future Card Buddyfight	"	Like New	Bushiroad   	usr539@gt.edu	Card Game			
4015	Attack on Titan 2	Moderately Used	Omega Force   Koei Tecmo	usr539@gt.edu	Computer Game		macOS	
4016	Monster Hunter Frontier G5	Moderately Used	Action role-playing, Expansion   Capcom	usr539@gt.edu	Video Game		Xbox	Game card
4017	"WARS Trading Card Game	"	Damaged/Missing parts	Decipher Inc.   	usr539@gt.edu	Card Game			
4018	Galactic Empires	Heavily Used	Companion Games   	usr540@gt.edu	Card Game			
4019	Top of the Order 	Mint	Donruss   	usr540@gt.edu	Card Game			
4020	Counting Animals 	Heavily Used	Floor Puzzle By Ravensburger (discon-17627)	usr540@gt.edu	Jigsaw Puzzle	60		
4021	Addiction Pinball	Mint	Team17   MicroProse	usr541@gt.edu	Computer Game		macOS	
4022	Parlor! Pro 64: Pachinko Jikki Simulation	Mint	Irem Software Engineering   	usr541@gt.edu	Video Game		Nintendo	Optical disc
4023	Empires Apart	Damaged/Missing parts	Destiny Bit   Slitherine	usr541@gt.edu	Computer Game		Windows	
4024	Stronghold 3	Like New		usr541@gt.edu	Computer Game		macOS	
4025	Final War Tactical Card Game 	Like New	Games Lab   	usr541@gt.edu	Card Game			
4026	Toy Story: Made to Play 	Damaged/Missing parts	Jigsaw Puzzle By Ravensburger NEW	usr541@gt.edu	Jigsaw Puzzle	35		
4027	Cardcaptors Trading Card Game	Like New	Upper Deck   	usr541@gt.edu	Card Game			
4028	Monster Hunter Frontier G1	Like New	Action role-playing, Expansion   Capcom	usr541@gt.edu	Video Game		Xbox	Optical disc
4029	Assassin's Creed III	Heavily Used	Ubisoft Montreal   Ubisoft	usr541@gt.edu	Computer Game		macOS	
4030	Wreck It Ralph 2 	Mint	Panoramic Jigsaw Puzzle By Ravensburger	usr541@gt.edu	Jigsaw Puzzle	20		
4031	Empire Earth	Mint	Stainless Steel Studios   Sierra Entertainment	usr542@gt.edu	Computer Game		Windows	
4032	ARIDA: Backland's Awakening	Like New	Aoca Game Lab	usr542@gt.edu	Computer Game		macOS	
4033	Monster Hunter Frontier G7	Damaged/Missing parts		usr542@gt.edu	Video Game		Xbox	Cartridge
4034	Cars 3 	Moderately Used	Jigsaw Puzzles By Ravensburger	usr542@gt.edu	Jigsaw Puzzle	147		
4035	uDraw Marvel Super Hero Squad: Comic Combat	Lightly Used	Fighting   Griptonite Games	usr542@gt.edu	Video Game		Xbox	Optical disc
4036	The Eye of Judgment 	Lightly Used		usr542@gt.edu	Card Game			
4037	Acrophobia (game)	Lightly Used	Andrea Jennifer Shubert   Internet Relay Chat	usr542@gt.edu	Computer Game		macOS	
4038	Monaco: What's Yours Is Mine	Lightly Used	Action & Adventure   Pocketwatch Games	usr543@gt.edu	Video Game		Xbox	Cartridge
4039	Ace Ventura: The CD-Rom Game	Moderately Used	7th Level   Bomico Entertainment Software	usr543@gt.edu	Computer Game		macOS	
4040	Ms. Pac-Man Maze Madness	Mint	Mass Media Games   Namco	usr543@gt.edu	Video Game		Nintendo	Game card
4041	NuFX	Moderately Used	EA Sports   Sports/Basketball	usr543@gt.edu	Video Game		Nintendo	Optical disc
4042	A Bastard's Tale	Lightly Used	No Pest Productions	usr543@gt.edu	Computer Game		Windows	
4043	Molly Delany (art)	Mint	7/50	usr543@gt.edu	Jigsaw Puzzle	53		
4044	Star Trek Online	Mint	Cryptic Studios   Perfect World Entertainment	usr543@gt.edu	Computer Game		macOS	
4045	War of the Roses	Moderately Used	Paradox Interactive   Fatshark	usr543@gt.edu	Computer Game		Linux	
4046	Wasteland	Lightly Used	Interplay Productions   Electronic Arts	usr544@gt.edu	Computer Game		Windows	
4047	The Sword of Rome	Like New	GMT Games  2004	usr544@gt.edu	Board Game			
4048	Just Dance 2017	Mint	Ubisoft Paris   	usr544@gt.edu	Video Game		PlayStation	Optical disc
4049	Abz	Lightly Used		usr544@gt.edu	Computer Game		Windows	
4050	Path of Exile	Mint		usr544@gt.edu	Computer Game		Windows	
4051	Phalanx	Heavily Used		usr544@gt.edu	Board Game			
4052	A Bastard's Tale	Mint		usr544@gt.edu	Computer Game		Windows	
4053	"Kaijudo	"	Moderately Used	Wizards of the Coast   	usr544@gt.edu	Card Game			
4054	Marble Blast Ultra	Like New	Action & Adventure   GarageGames	usr544@gt.edu	Video Game		Xbox	Game card
4055	Katamari Forever	Heavily Used	Namco Bandai   July 23, 2009	usr544@gt.edu	Video Game		PlayStation	Optical disc
4056	Black Skylands	Moderately Used	Hungry Couch Games   tinyBuild	usr544@gt.edu	Computer Game		macOS	
